id x y class
i1 0.075122 0.015702 +
i2 0.073252 0.015826 +
i3 0.123207 0.015656 +
i4 0.111374 0.017798 +
i5 0.127325 0.016931 +
i6 0.141634 0.017112 +
i7 0.112819 0.02623 +
i8 0.12143 0.017758 +
i9 0.120381 0.017957 +
i10 0.126377 0.0193 +
i11 0.11531 0.022069 +
i12 0.115426 0.019139 +
i13 0.126082 0.016789 +
i14 0.100693 0.025 +
i15 0.111004 0.020833 +
i16 0.112677 0.018328 +
i17 0.112076 0.017544 +
i18 0.121227 0.015671 +
i19 0.124068 0.015717 +
i20 0.120554 0.015702 +
i21 0.125298 0.015764 +
i22 0.125502 0.016145 +
i23 0.113519 0.015686 +
i24 0.126137 0.015702 +
i25 0.116319 0.016097 +
i26 0.121777 0.01564 +
i27 0.121843 0.016211 +
i28 0.122515 0.015842 +
i29 0.117826 0.016244 +
i30 0.122936 0.017039 +
i31 0.121634 0.01626 +
i32 0.123002 0.017279 +
i33 0.125469 0.016563 +
i34 0.123529 0.016754 +
i35 0.125138 0.016343 +
i36 0.117972 0.018412 +
i37 0.073505 0.016615 +
i38 0.119562 0.121212 +
i39 0.072689 0.016771 +
i40 0.117076 0.016162 +
i41 0.114911 0.015842 +
i42 0.116246 0.015936 +
i43 0.112736 0.01564 +
i44 0.112427 0.01592 +
i45 0.112082 0.016 +
i46 0.105475 0.01581 +
i47 0.113372 0.016064 +
i48 0.116804 0.016277 +
i49 0.114745 0.015779 +
i50 0.11417 0.016211 +
i51 0.117357 0.018735 +
i52 0.112716 0.017241 +
i53 0.11047 0.021798 +
i54 0.111452 0.026711 +
i55 0.11704 0.02473 +
i56 0.123988 0.015671 +
i57 0.117007 0.021277 +
i58 0.18461 0.020356 +
i59 0.178856 0.060837 +
i60 0.100261 0.015936 +
i61 0.144108 0.02439 +
i62 0.109504 0.033333 +
i63 0.136423 0.027257 +
i64 0.144821 0.015686 +
i65 0.137113 0.016529 +
i66 0.130093 0.054054 +
i67 0.12509 0.018868 +
i68 0.04525 0.016032 +
i69 0.06189 0.015952 +
i70 0.070208 0.016162 +
i71 0.075272 0.01854 +
i72 0.107923 0.026187 +
i73 0.11318 0.020833 +
i74 0.050866 0.015764 +
i75 0.11208 0.016667 +
i76 0.063685 0.021136 +
i77 0.104587 0.016684 +
i78 0.07545 0.018519 +
i79 0.076879 0.020101 +
i80 0.066824 0.0199 +
i81 0.104778 0.025078 +
i82 0.056886 0.0199 +
i83 0.092313 0.018141 +
i84 0.095566 0.015717 +
i85 0.085274 0.01581 +
i86 0.075504 0.016244 +
i87 0.093493 0.015733 +
i88 0.09417 0.015671 +
i89 0.088632 0.01626 +
i90 0.07183 0.016145 +
i91 0.081085 0.01768 +
i92 0.081906 0.017897 +
i93 0.094526 0.015795 +
i94 0.150088 0.01564 +
i95 0.165478 0.016129 +
i96 0.163778 0.016 +
i97 0.154566 0.01636 +
i98 0.12135 0.01581 +
i99 0.122574 0.016615 +
i100 0.155576 0.016393 +
i101 0.132473 0.015795 +
i102 0.177862 0.015795 +
i103 0.147641 0.017602 +
i104 0.118163 0.01741 +
i105 0.115332 0.015656 +
i106 0.112392 0.0199 +
i107 0.11017 0.016495 +
i108 0.125089 0.01766 +
i109 0.104439 0.017076 +
i110 0.121267 0.026667 +
i111 0.108968 0.017429 +
i112 0.124111 0.018433 +
i113 0.114214 0.016194 +
i114 0.12348 0.023256 +
i115 0.191932 0.018713 +
i116 0.140297 0.016684 +
i117 0.13539 0.01581 +
i118 0.079584 0.02 +
i119 0.133095 0.02 +
i120 0.14364 0.017957 +
i121 0.131467 0.016343 +
i122 0.118804 0.016293 +
i123 0.140626 0.0199 +
i124 0.15001 0.018454 +
i125 0.143886 0.016327 +
i126 0.134142 0.015889 +
i127 0.129611 0.016178 +
i128 0.153347 0.016227 +
i129 0.123841 0.016327 +
i130 0.133925 0.015968 +
i131 0.087128 0.01867 +
i132 0.074544 0.02213 +
i133 0.079563 0.027027 +
i134 0.093174 0.023916 +
i135 0.080257 0.031683 +
i136 0.150244 0.018913 +
i137 0.146767 0.018692 +
i138 0.144096 0.01898 +
i139 0.11617 0.021248 +
i140 0.138689 0.01631 +
i141 0.138339 0.019277 +
i142 0.135663 0.018244 +
i143 0.151207 0.015984 +
i144 0.145132 0.017857 +
i145 0.140781 0.015748 +
i146 0.124786 0.015764 +
i147 0.153892 0.016512 +
i148 0.172614 0.015702 +
i149 0.13185 0.017204 +
i150 0.177591 0.016097 +
i151 0.173892 0.016649 +
i152 0.172207 0.015826 +
i153 0.181713 0.016048 +
i154 0.172216 0.01898 +
i155 0.166297 0.016194 +
i156 0.14238 0.015826 +
i157 0.141223 0.016277 +
i158 0.124098 0.01636 +
i159 0.133619 0.016563 +
i160 0.147471 0.016113 +
i161 0.117209 0.016377 +
i162 0.138347 0.016244 +
i163 0.125693 0.016277 +
i164 0.144337 0.016327 +
i165 0.140584 0.015905 +
i166 0.114242 0.034707 +
i167 0.12173 0.017167 +
i168 0.156755 0.02 +
i169 0.149238 0.019851 +
i170 0.162786 0.024096 +
i171 0.156416 0.01726 +
i172 0.137207 0.017354 +
i173 0.12912 0.01812 +
i174 0.114935 0.018497 +
i175 0.123538 0.015702 +
i176 0.100791 0.016277 +
i177 0.10657 0.016667 +
i178 0.109746 0.017335 +
i179 0.119412 0.021769 +
i180 0.095547 0.015733 +
i181 0.10425 0.039604 +
i182 0.114506 0.018391 +
i183 0.107974 0.021563 +
i184 0.101042 0.016064 +
i185 0.125046 0.01631 +
i186 0.115596 0.016842 +
i187 0.122182 0.016178 +
i188 0.127467 0.020434 +
i189 0.149067 0.017094 +
i190 0.129613 0.033058 +
i191 0.116197 0.015671 +
i192 0.122561 0.016807 +
i193 0.107933 0.015764 +
i194 0.14204 0.016016 +
i195 0.104071 0.025478 +
i196 0.120884 0.016064 +
i197 0.106442 0.021651 +
i198 0.121867 0.015702 +
i199 0.111914 0.018626 +
i200 0.113681 0.025316 +
i201 0.129298 0.016016 +
i202 0.105984 0.017241 +
i203 0.111702 0.017204 +
i204 0.125413 0.015952 +
i205 0.106811 0.018038 +
i206 0.100583 0.017602 +
i207 0.116514 0.019536 +
i208 0.101368 0.01592 +
i209 0.129719 0.017167 +
i210 0.092748 0.016546 +
i211 0.132811 0.016194 +
i212 0.126941 0.051118 +
i213 0.099337 0.022504 +
i214 0.095883 0.017857 +
i215 0.105049 0.018038 +
