id;IQR;minfun;class
i1;0.075122;0.015702;male
i2;0.073252;0.015826;male
i3;0.123207;0.015656;male
i4;0.111374;0.017798;male
i5;0.127325;0.016931;male
i6;0.141634;0.017112;male
i7;0.112819;0.02623;male
i8;0.12143;0.017758;male
i9;0.120381;0.017957;male
i10;0.126377;0.0193;male
i11;0.11531;0.022069;male
i12;0.115426;0.019139;male
i13;0.126082;0.016789;male
i14;0.100693;0.025;male
i15;0.111004;0.020833;male
i16;0.112677;0.018328;male
i17;0.112076;0.017544;male
i18;0.121227;0.015671;male
i19;0.124068;0.015717;male
i20;0.120554;0.015702;male
i21;0.125298;0.015764;male
i22;0.125502;0.016145;male
i23;0.113519;0.015686;male
i24;0.126137;0.015702;male
i25;0.116319;0.016097;male
i26;0.121777;0.01564;male
i27;0.121843;0.016211;male
i28;0.122515;0.015842;male
i29;0.117826;0.016244;male
i30;0.122936;0.017039;male
i31;0.121634;0.01626;male
i32;0.123002;0.017279;male
i33;0.125469;0.016563;male
i34;0.123529;0.016754;male
i35;0.125138;0.016343;male
i36;0.117972;0.018412;male
i37;0.073505;0.016615;male
i38;0.119562;0.121212;male
i39;0.072689;0.016771;male
i40;0.117076;0.016162;male
i41;0.114911;0.015842;male
i42;0.116246;0.015936;male
i43;0.112736;0.01564;male
i44;0.112427;0.01592;male
i45;0.112082;0.016;male
i46;0.105475;0.01581;male
i47;0.113372;0.016064;male
i48;0.116804;0.016277;male
i49;0.114745;0.015779;male
i50;0.11417;0.016211;male
i51;0.117357;0.018735;male
i52;0.112716;0.017241;male
i53;0.11047;0.021798;male
i54;0.111452;0.026711;male
i55;0.11704;0.02473;male
i56;0.123988;0.015671;male
i57;0.117007;0.021277;male
i58;0.18461;0.020356;male
i59;0.178856;0.060837;male
i60;0.100261;0.015936;male
i61;0.144108;0.02439;male
i62;0.109504;0.033333;male
i63;0.136423;0.027257;male
i64;0.144821;0.015686;male
i65;0.137113;0.016529;male
i66;0.130093;0.054054;male
i67;0.12509;0.018868;male
i68;0.04525;0.016032;male
i69;0.06189;0.015952;male
i70;0.070208;0.016162;male
i71;0.075272;0.01854;male
i72;0.107923;0.026187;male
i73;0.11318;0.020833;male
i74;0.050866;0.015764;male
i75;0.11208;0.016667;male
i76;0.063685;0.021136;male
i77;0.104587;0.016684;male
i78;0.07545;0.018519;male
i79;0.076879;0.020101;male
i80;0.066824;0.0199;male
i81;0.104778;0.025078;male
i82;0.056886;0.0199;male
i83;0.092313;0.018141;male
i84;0.095566;0.015717;male
i85;0.085274;0.01581;male
i86;0.075504;0.016244;male
i87;0.093493;0.015733;male
i88;0.09417;0.015671;male
i89;0.088632;0.01626;male
i90;0.07183;0.016145;male
i91;0.081085;0.01768;male
i92;0.081906;0.017897;male
i93;0.094526;0.015795;male
i94;0.150088;0.01564;male
i95;0.165478;0.016129;male
i96;0.163778;0.016;male
i97;0.154566;0.01636;male
i98;0.12135;0.01581;male
i99;0.122574;0.016615;male
i100;0.155576;0.016393;male
i101;0.132473;0.015795;male
i102;0.177862;0.015795;male
i103;0.147641;0.017602;male
i104;0.118163;0.01741;male
i105;0.115332;0.015656;male
i106;0.112392;0.0199;male
i107;0.11017;0.016495;male
i108;0.125089;0.01766;male
i109;0.104439;0.017076;male
i110;0.121267;0.026667;male
i111;0.108968;0.017429;male
i112;0.124111;0.018433;male
i113;0.114214;0.016194;male
i114;0.12348;0.023256;male
i115;0.191932;0.018713;male
i116;0.140297;0.016684;male
i117;0.13539;0.01581;male
i118;0.079584;0.02;male
i119;0.133095;0.02;male
i120;0.14364;0.017957;male
i121;0.131467;0.016343;male
i122;0.118804;0.016293;male
i123;0.140626;0.0199;male
i124;0.15001;0.018454;male
i125;0.143886;0.016327;male
i126;0.134142;0.015889;male
